time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-01 00:00:00+00:00,2,2,3,2
2024-04-02 00:00:00+00:00,4,4,6,4
2024-04-03 00:00:00+00:00,44,5,55,4
2024-04-04 00:00:00+00:00,3,3,10,4
2024-04-05 00:00:00+00:00,3,3,26,4
2024-04-06 00:00:00+00:00,3,3,30,5
2024-04-07 00:00:00+00:00,3,3,10,5
2024-04-08 00:00:00+00:00,3,3,2,2
2024-04-09 00:00:00+00:00,14,4,20,7
2024-04-10 00:00:00+00:00,63,11,11,6
2024-04-11 00:00:00+00:00,24,11,8,4
2024-04-12 00:00:00+00:00,28,6,2,2
2024-04-13 00:00:00+00:00,5,5,9,4
2024-04-14 00:00:00+00:00,3,3,6,3
2024-04-15 00:00:00+00:00,5,4,39,3
2024-04-16 00:00:00+00:00,5,5,10,3
2024-04-17 00:00:00+00:00,5,3,65,4
2024-04-18 00:00:00+00:00,4,4,35,4
2024-04-19 00:00:00+00:00,3,3,25,6
2024-04-20 00:00:00+00:00,3,3,3,2
2024-04-21 00:00:00+00:00,6,3,7,1
2024-04-22 00:00:00+00:00,3,3,19,7
2024-04-23 00:00:00+00:00,22,3,11,1
2024-04-24 00:00:00+00:00,28,7,16,6
2024-04-25 00:00:00+00:00,39,7,28,6
2024-04-26 00:00:00+00:00,100,13,38,16
2024-04-27 00:00:00+00:00,7,5,2,1
2024-04-28 00:00:00+00:00,3,3,0,0
2024-04-29 00:00:00+00:00,21,6,13,6
2024-04-30 00:00:00+00:00,7,4,12,5
2024-05-01 00:00:00+00:00,5,3,16,5
2024-05-02 00:00:00+00:00,3,3,99,11
2024-05-03 00:00:00+00:00,2,2,22,8
2024-05-04 00:00:00+00:00,3,3,5,2
2024-05-05 00:00:00+00:00,3,3,19,4
2024-05-06 00:00:00+00:00,11,5,6,2
2024-05-07 00:00:00+00:00,3,3,5,4
2024-05-08 00:00:00+00:00,2,2,4,2
2024-05-09 00:00:00+00:00,3,3,13,4
2024-05-10 00:00:00+00:00,23,4,8,4
2024-05-11 00:00:00+00:00,19,7,0,0
2024-05-12 00:00:00+00:00,9,4,9,1
2024-05-13 00:00:00+00:00,28,7,39,6
2024-05-14 00:00:00+00:00,7,4,24,4
2024-05-15 00:00:00+00:00,4,4,18,4
2024-05-16 00:00:00+00:00,7,4,20,11
2024-05-17 00:00:00+00:00,4,4,29,7
2024-05-18 00:00:00+00:00,3,3,3,1
2024-05-19 00:00:00+00:00,7,4,4,2
2024-05-20 00:00:00+00:00,6,5,100,4
2024-05-21 00:00:00+00:00,6,3,99,4
2024-05-22 00:00:00+00:00,3,3,189,10
2024-05-23 00:00:00+00:00,10,6,36,4
2024-05-24 00:00:00+00:00,3,3,71,8
2024-05-25 00:00:00+00:00,3,3,6,3
2024-05-26 00:00:00+00:00,3,3,15,2
2024-05-27 00:00:00+00:00,4,4,66,8
2024-05-28 00:00:00+00:00,2,2,17,4
2024-05-29 00:00:00+00:00,3,3,23,7
2024-05-30 00:00:00+00:00,2,2,16,2
2024-05-31 00:00:00+00:00,47,12,11,3
2024-06-01 00:00:00+00:00,7,5,7,2
2024-06-02 00:00:00+00:00,2,2,2,2
2024-06-03 00:00:00+00:00,10,7,8,2
2024-06-04 00:00:00+00:00,6,3,32,4
2024-06-05 00:00:00+00:00,7,4,4,2
2024-06-06 00:00:00+00:00,56,10,25,6
2024-06-07 00:00:00+00:00,29,8,13,4
2024-06-08 00:00:00+00:00,7,5,4,2
2024-06-09 00:00:00+00:00,7,4,1,1
2024-06-10 00:00:00+00:00,8,5,52,6
2024-06-11 00:00:00+00:00,2,2,32,5
2024-06-12 00:00:00+00:00,5,5,11,3
2024-06-13 00:00:00+00:00,7,4,13,6
2024-06-14 00:00:00+00:00,1,1,36,9
2024-06-15 00:00:00+00:00,1,1,7,4
2024-06-16 00:00:00+00:00,15,3,4,2
2024-06-17 00:00:00+00:00,9,5,32,2
2024-06-18 00:00:00+00:00,6,3,2,2
2024-06-19 00:00:00+00:00,3,3,2,2
2024-06-20 00:00:00+00:00,2,2,54,5
2024-06-21 00:00:00+00:00,4,2,37,7
2024-06-22 00:00:00+00:00,3,3,38,2
2024-06-23 00:00:00+00:00,5,2,5,3
2024-06-24 00:00:00+00:00,3,2,1,1
2024-06-25 00:00:00+00:00,1,1,6,3
2024-06-26 00:00:00+00:00,0,0,3,3
2024-06-27 00:00:00+00:00,0,0,5,3
2024-06-28 00:00:00+00:00,23,2,8,5
2024-06-29 00:00:00+00:00,1,1,2,1
2024-06-30 00:00:00+00:00,0,0,18,4
2024-07-01 00:00:00+00:00,3,2,6,4
2024-07-02 00:00:00+00:00,32,3,31,5
2024-07-03 00:00:00+00:00,73,3,40,9
2024-07-04 00:00:00+00:00,15,3,16,5
2024-07-05 00:00:00+00:00,116,8,22,5
2024-07-06 00:00:00+00:00,11,2,8,4
2024-07-07 00:00:00+00:00,30,1,2,2
2024-07-08 00:00:00+00:00,121,2,6,4
2024-07-09 00:00:00+00:00,50,1,5,2
2024-07-10 00:00:00+00:00,3,1,0,0
2024-07-11 00:00:00+00:00,54,3,1,1
2024-07-12 00:00:00+00:00,29,6,13,6
2024-07-13 00:00:00+00:00,28,3,48,8
2024-07-14 00:00:00+00:00,1,1,4,3
2024-07-15 00:00:00+00:00,3,1,6,1
2024-07-16 00:00:00+00:00,48,3,21,4
2024-07-17 00:00:00+00:00,0,0,13,6
